Abalphat d'Ispahan (Perse, 990-)
Abraham Adolf Fraenkel (Allemagne, 1891-1965)
Abraham de Moivre (France, 1667-1754)
Abraham Gotthelf Kästner (Allemagne, 1719-1800)
Abraham ibn Ezra (Espagne, 1090-1167)
Abraham Robinson (États-Unis, 1918-1974)
Abu al Hassan Thabit ibn Qurra (Turquie-Irak, 826-901)
Abu Ja'far Muhammad Ibn Musa Al-Khwarizmi (Perse, 780-850)
Abu'l-Hasan al-Uqlidisi (Moyen-Orient, 920-990)
Adam Ries (Allemagne, 1489-1559)
Adolf Hurwitz (Allemagne, 1859-1919)
Adriaan van Roomen (Belgique, 1561-1615)
Adrien Douady (France, 1935-2006)
Adrien-Marie Legendre (France, 1752-1833)
Aguilon (Belgique, 1566-1617)
Ahmès (Égypte, autour du XVIIe siècle av. J.-C.)
Alain Connes (France, 1947-)
Alan Baker (Angleterre, 1939-)
Alan Turing (Angleterre, 1912-1954)
Albert Einstein (Allemagne, 1879-1955)
Albert Girard (Hollande, 1595-1632)
Albert Victor Bäcklund (Allemagne, 1845-1912)
Al-Biruni (Perse, 973-1048)
Albrecht Dürer (Allemagne, 1471-1528)
Aleksandr Mikhailovich Lyapunov (Russie, 1857-1918)
Alexander Anderson (Écosse, 1582-1620)
Alexander MacAulay (Tasmanie, 1863-1931)
Alexander Markovich Ostrowski (Russie, 1893-1986)
Alexandre Alexandrov (Russie, 1912-1999)
Alexandre de Villedieu (France, 1re moitié du XIIIe siècle)
Alexandre Grothendieck (France, 1928-2014)
Alexandre-Théophile Vandermonde (France, 1735-1796)
Alexis Claude Clairaut (France, 1713-1765)
Alfred Loewy (Allemagne, 1873-1935)
Alfred Tarski (Pologne, 1902-1983)
Al Hasan « Alhazen » al-Haytham (Égypte, 965-1039)
Alonzo Church (États-Unis, 1903-1995)
Alphonse de Polignac (France, 1817-1890)
Al-Zarqali (Espagne, 1028-1087)
Andrei Andreevich Markov (Russie, 1856-1922)
Andreï Kolmogorov (Russie, 1903-1987)
Andreï Nikolaïevitch Tikhonov (Russie, 1906-1993)
Andrei Okounkov (Russie, 1969-)
André-Marie Ampère (France, 1775-1836)
André Weil (France, 1906-1998)
Andrew Wiles (Angleterre, 1953-)
Anicius Boèce (Italie, 475-524)
Anthemius de Tralles (Byzance, 474-534)
Antiphon le Sophiste (Grèce, Ve siècle av. J.-C.)
Antoine de Lalouvère (France, 1600-1664)
Antoni Zygmund (Pologne, 1900-1992)
Apollonius de Perga (Grèce, -262--180)
Archimède (Grèce, -287--212)
Archytas de Tarente (Grèce, -428--347)
Aristarque de Samos (Grèce, -310--230)
Aristote (Grèce, -384--322)
Armand Borel (Suisse, 1923-2003)
Arne Beurling (Suède, 1905-1986)
Arthur Cayley (Angleterre, 1821-1895)
Arthur Moritz Schönflies (Allemagne, 1853-1928)
Arthur Wieferich (Allemagne, 1884-1954)
Âryabhata (Inde, Ve siècle)
Atle Selberg (Norvège, 1917-2007)
August Ferdinand Möbius (Allemagne, 1790-1868)
Augustin Louis Cauchy (France, 1789-1857)
August Leopold Crelle (Allemagne, 1780-1855)
Augustus De Morgan (Angleterre, 1806-1871)
Autolycos de Pitane (Grèce, -360--300)
Axel Thue (Norvège, 1863-1922)
Bartel Leendert van der Waerden (Hollande, 1903-1996)
Benjamin Peirce (États-Unis, 1809-1880)
Benoît Mandelbrot (États-Unis, 1924-2010)
Bernard Bolzano (Bohême, 1781-1848)
Bernhard Riemann (Allemagne, 1826-1866)
Bertrand Russell (Angleterre, 1872-1970)
Bhāskara II (Inde, 1114-1185)
Bhāskara I (Inde, VIIe siècle)
Blaise Pascal (France, 1623-1662)
Bonaventura Cavalieri (Italie, 1598-1647)
Boris Yakovlevich Bukreev (Russie, 1859-1962)
Brahmagupta (Inde, 598-668)
Bruno de Finetti (Italie, 1906-1985)
Cahit Arf (Turquie, 1910-1997)
Camille Jordan (France, 1838-1922)
Camille Jordan (France, 1838-1922)
Carl Benjamin Boyer (États-Unis, 1906-1976)
Carl Friedrich Gauss (Allemagne, 1777-1855)
Carl Gustav Axel Harnack (Allemagne, 1851-1888)
Carl Gustav Jakob Jacobi (Allemagne, 1804-1851)
Carl Gustav Jakob Jacobi (Allemagne, 1804-1851)
Carlo Emilio Bonferroni (Italie, 1892-1960)
Carl Runge (Allemagne, 1856-1927)
Caroline Herschel (Allemagne, 1750-1848)
Caspar Wessel (Norvège, 1745-1818)
Cédric Villani (France, 1973-)
Cesare Arzelà (Italie, 1847-1912)
Cesare Burali-Forti (Italie, 1861-1931)
Charles Babbage (Angleterre, 1791-1871)
Charles de Bovelles (France, 1475-1566)
Charles de La Faille (Hollande, 1597-1652)
Charles Ehresmann (France, 1905-1979)
Charles Émile Picard (France, 1856-1941)
Charles-Eugène Delaunay (France, 1816-1872)
Charles Fefferman (États-Unis, 1949-)
Charles-François Sturm (France, 1803-1855)
Charles Hermite (France, 1822-1901)
Charles Julien Brianchon (France, 1785-1864)
Charles Méray (France, 1835-1911)
Charles Pisot (France, 1910-1984)
Charles Sanders Peirce (États-Unis, 1839-1914)
Charlotte Barnum (États-Unis, 1860-1934)
Chen Jingrun (Chine, 1933-1996)
Chidambaram Padmanabhan Ramanujam (Inde, 1938-1974)
Ch'in Chiu-Shao (Chine, env. 1200)
Chiungtze Tsen (Chine, 1898-1940)
Christian Goldbach (Allemagne, 1690-1764)
Christian Huygens (Hollande, 1629-1695)
Christian Kramp (France, 1760-1826)
Christoff Rudolff (Allemagne, 1500-1545)
Christopher Wren (Angleterre, 1632-1723)
Christoph Gudermann (Allemagne, 1798-1852)
Christophorus Clavius (Allemagne, 1537-1612)
Claude-Gaspard Bachet de Méziriac (France, 1581-1638)
Claude Perrault (France, 1613-1688)
Claude Shannon (États-Unis, 1916-2001)
Colin Maclaurin (Écosse, 1698-1746)
Condorcet (France, 1743-1794)
Constantin Carathéodory (Allemagne, 1873-1950)
Curtis T. McMullen (États-Unis, 1958-)
Dally Timothée Parfait Aziegbo (Côte d'Ivoire, 1988-)
Daniel Bernoulli (Suisse, 1700-1782)
Daniel Quillen (États-Unis, 1940-2011)
Danilo Blanuša (Croatie, 1903-1987)
David A. Huffman (États-Unis, 1925-1999)
David Hilbert (Allemagne, 1862-1943)
